"","GEOID","county","income","bachelors","poverty_total","poverty","total"
"652","17109","McDonough County, Illinois",48904,2678,24691,4887,27370
"653","17111","McHenry County, Illinois",100101,49733,308820,18641,311133
"654","17113","McLean County, Illinois",75356,32113,162607,23023,171284
"655","17115","Macon County, Illinois",59622,11357,100253,15510,103542
"656","17117","Macoupin County, Illinois",64706,4294,43989,6453,44907
"657","17119","Madison County, Illinois",71759,34114,260227,31245,265512
"658","17121","Marion County, Illinois",59099,2877,36302,6157,37543
"659","17123","Marshall County, Illinois",64940,1065,11313,1390,11740
"660","17125","Mason County, Illinois",58479,1154,12869,1767,13074
"661","17127","Massac County, Illinois",57365,1021,13823,1901,14135
"662","17129","Menard County, Illinois",84846,1355,12134,964,12284
"663","17131","Mercer County, Illinois",67028,1285,15505,1244,15692
"664","17133","Monroe County, Illinois",100685,5921,34533,1481,34905
"665","17135","Montgomery County, Illinois",61796,2389,26044,3640,28352
"666","17137","Morgan County, Illinois",61188,3509,30505,3938,32882
"667","17139","Moultrie County, Illinois",72833,1365,14239,1307,14531
"668","17141","Ogle County, Illinois",75782,5486,51024,4234,51672
"669","17143","Peoria County, Illinois",63409,24988,176365,27284,181186
"670","17145","Perry County, Illinois",56338,1133,18644,3257,20996
"671","17147","Piatt County, Illinois",81151,2318,16622,1189,16698
"672","17149","Pike County, Illinois",55514,1357,14312,1925,14776
"673","17151","Pope County, Illinois",57582,303,3625,678,3799
"674","17153","Pulaski County, Illinois",41038,325,5085,1271,5177
"675","17155","Putnam County, Illinois",75726,620,5620,492,5628
"676","17157","Randolph County, Illinois",63860,1891,27363,3428,30413
"677","17159","Richland County, Illinois",61607,1370,15376,2113,15716
"678","17161","Rock Island County, Illinois",64435,15122,139029,21084,143819
"679","17163","St. Clair County, Illinois",68915,31097,252083,34784,256791
"680","17165","Saline County, Illinois",51710,2439,23117,4156,23662
"681","17167","Sangamon County, Illinois",71653,28222,192400,24834,196122
"682","17169","Schuyler County, Illinois",63737,592,6757,1318,6879
"683","17171","Scott County, Illinois",70500,594,4838,531,4899
"684","17173","Shelby County, Illinois",65585,1986,20816,2138,21042
"685","17175","Stark County, Illinois",58125,524,5263,657,5395
"686","17177","Stephenson County, Illinois",57527,4130,43697,5829,44482
"687","17179","Tazewell County, Illinois",74606,17268,128551,11195,131276
"688","17181","Union County, Illinois",54090,1845,16780,3372,17122
"689","17183","Vermilion County, Illinois",52787,4973,71083,12407,74113
"690","17185","Wabash County, Illinois",54074,934,11118,1483,11321
"691","17187","Warren County, Illinois",62700,1545,15748,2346,16760
"692","17189","Washington County, Illinois",75111,1495,13565,1082,13781
"693","17191","Wayne County, Illinois",53522,1205,16050,2237,16127
"694","17193","White County, Illinois",54605,997,13377,2049,13834
"695","17195","Whiteside County, Illinois",62828,4612,54329,6327,55569
"696","17197","Will County, Illinois",103678,105392,687627,45737,696774
"697","17199","Williamson County, Illinois",60325,7790,64711,8541,67120
"698","17201","Winnebago County, Illinois",61738,29684,280266,45057,284591
"699","17203","Woodford County, Illinois",80093,5778,37352,2788,38414
"700","18001","Adams County, Indiana",61731,2340,35257,4040,35827
"701","18003","Allen County, Indiana",66222,51044,378880,45562,385456
"702","18005","Bartholomew County, Indiana",76912,11174,81288,9357,82371
"703","18007","Benton County, Indiana",58620,872,8590,1217,8709
"704","18009","Blackford County, Indiana",51108,779,11864,2019,12074
"705","18011","Boone County, Indiana",103038,14669,70260,4050,71235
"706","18013","Brown County, Indiana",73933,2015,15260,1246,15513
"707","18015","Carroll County, Indiana",61464,1565,20169,1468,20397
"708","18017","Cass County, Indiana",55862,2599,36871,5117,37820
"709","18019","Clark County, Indiana",69005,14075,119725,11609,121484
"710","18021","Clay County, Indiana",68364,2202,25699,2806,26396
"711","18023","Clinton County, Indiana",59515,2293,32131,2877,33020
"712","18025","Crawford County, Indiana",46706,587,10403,2283,10511
"713","18027","Daviess County, Indiana",64113,2232,32687,3150,33337
"714","18029","Dearborn County, Indiana",80352,5821,49998,4230,50709
"715","18031","Decatur County, Indiana",71566,2753,25923,2477,26432
"716","18033","DeKalb County, Indiana",68110,3936,42830,4274,43312
"717","18035","Delaware County, Indiana",53377,10495,104721,21600,112156
"718","18037","Dubois County, Indiana",68945,5105,42584,4111,43584
"719","18039","Elkhart County, Indiana",63978,17339,203329,24427,206841
"720","18041","Fayette County, Indiana",52219,1863,22972,3761,23391
"721","18043","Floyd County, Indiana",75686,10841,78537,7359,80191
"722","18045","Fountain County, Indiana",60559,1011,16294,1965,16468
"723","18047","Franklin County, Indiana",75985,2090,22698,1669,22850
"724","18049","Fulton County, Indiana",62644,1707,20129,2977,20420
"725","18051","Gibson County, Indiana",64153,2907,32198,3210,33006
"726","18053","Grant County, Indiana",53033,4783,61218,11670,66560
"727","18055","Greene County, Indiana",57771,2434,30465,4257,30900
"728","18057","Hamilton County, Indiana",114866,87064,347349,14697,349527
"729","18059","Hancock County, Indiana",85262,12440,79282,3889,80170
"730","18061","Harrison County, Indiana",71302,3825,39162,2976,39684
"731","18063","Hendricks County, Indiana",95261,30424,171762,8968,175639
"732","18065","Henry County, Indiana",57632,4026,45723,6271,48913
"733","18067","Howard County, Indiana",62014,7700,81999,9910,83452
"734","18069","Huntington County, Indiana",59894,3695,35293,3923,36699
"735","18071","Jackson County, Indiana",65609,3867,45044,5607,46212
"736","18073","Jasper County, Indiana",77777,2873,32362,2427,33045
"737","18075","Jay County, Indiana",52231,1022,20170,2725,20451
"738","18077","Jefferson County, Indiana",57801,2572,30942,3979,33057
"739","18079","Jennings County, Indiana",66892,1848,26907,3745,27610
"740","18081","Johnson County, Indiana",82730,22035,158665,11886,161952
"741","18083","Knox County, Indiana",58173,2815,34224,4520,36148
"742","18085","Kosciusko County, Indiana",70945,8312,78834,7023,80442
"743","18087","LaGrange County, Indiana",81658,1652,39921,2261,40364
"744","18089","Lake County, Indiana",66375,54950,491833,72391,497682
"745","18091","LaPorte County, Indiana",66854,11189,105177,15485,112215
"746","18093","Lawrence County, Indiana",64210,3565,44290,4742,45113
"747","18095","Madison County, Indiana",60060,11740,124458,17600,130545
"748","18097","Marion County, Indiana",59504,136520,953111,146353,971737
"749","18099","Marshall County, Indiana",66016,4012,45428,4919,46208
"750","18101","Martin County, Indiana",65489,651,9700,1372,9863
"751","18103","Miami County, Indiana",59551,2731,33698,5306,35952
"752","18105","Monroe County, Indiana",60308,19900,125132,25891,140065
"753","18107","Montgomery County, Indiana",62937,3398,36479,4640,38018
"754","18109","Morgan County, Indiana",79134,6802,70506,5994,71757
"755","18111","Newton County, Indiana",63673,990,13585,1718,13829
"756","18113","Noble County, Indiana",70286,3931,46409,3366,47431
"757","18115","Ohio County, Indiana",66333,489,5910,592,5974
"758","18117","Orange County, Indiana",60775,1279,19404,2852,19768
"759","18119","Owen County, Indiana",57947,1649,20882,2568,21361
"760","18121","Parke County, Indiana",63393,1027,15213,2366,16327
"761","18123","Perry County, Indiana",58936,1541,17699,2143,19186
"762","18125","Pike County, Indiana",64182,799,12029,1321,12227
"763","18127","Porter County, Indiana",82915,22294,169516,15779,173355
"764","18129","Posey County, Indiana",75594,3022,24873,2490,25226
"765","18131","Pulaski County, Indiana",56823,769,12273,1566,12498
"766","18133","Putnam County, Indiana",70609,3194,32183,2869,36942
"767","18135","Randolph County, Indiana",59674,1598,24042,3134,24586
"768","18137","Ripley County, Indiana",70285,2105,28452,2738,28990
"769","18139","Rush County, Indiana",62386,1211,16423,1923,16716
"770","18141","St. Joseph County, Indiana",61877,34030,260436,37546,272388
"771","18143","Scott County, Indiana",49343,1324,23501,3705,24403
"772","18145","Shelby County, Indiana",66449,4206,44049,5701,44940
"773","18147","Spencer County, Indiana",66168,1752,19620,1415,19935
"774","18149","Starke County, Indiana",59916,1397,23158,3144,23308
"775","18151","Steuben County, Indiana",68837,3772,32914,3063,34507
"776","18153","Sullivan County, Indiana",54556,1413,18602,2263,20791
"777","18155","Switzerland County, Indiana",66525,558,9779,1624,9896
"778","18157","Tippecanoe County, Indiana",55728,22967,170698,32688,186955
"779","18159","Tipton County, Indiana",71947,1887,15093,1821,15328
"780","18161","Union County, Indiana",68514,721,6924,418,7041
"781","18163","Vanderburgh County, Indiana",58839,22056,173666,24763,179900
"782","18165","Vermillion County, Indiana",59567,1378,15223,2263,15488
"783","18167","Vigo County, Indiana",52789,10353,98735,19702,106355
"784","18169","Wabash County, Indiana",66194,2930,29116,3194,31032
"785","18171","Warren County, Indiana",72833,822,8330,1045,8454
"786","18173","Warrick County, Indiana",91105,9148,62952,3815,64065
"787","18175","Washington County, Indiana",60695,2036,27659,3626,28133
"788","18177","Wayne County, Indiana",54854,5351,63855,10246,66522
"789","18179","Wells County, Indiana",68074,2590,27453,1748,28167
"790","18181","White County, Indiana",65345,2131,24258,2109,24630
"791","18183","Whitley County, Indiana",73636,3974,33790,3090,34259
"792","19001","Adair County, Iowa",63172,755,7304,736,7479
"793","19003","Adams County, Iowa",64750,442,3602,341,3680
"794","19005","Allamakee County, Iowa",64049,1319,13716,1594,14046
"795","19007","Appanoose County, Iowa",50684,1223,12129,2104,12279
"796","19009","Audubon County, Iowa",54973,648,5506,652,5651
"797","19011","Benton County, Iowa",79444,2879,25175,2089,25652
"798","19013","Black Hawk County, Iowa",62329,16143,126174,19808,131041
"799","19015","Boone County, Iowa",75759,3658,26170,1956,26700
"800","19017","Bremer County, Iowa",84727,3826,23474,1541,25012
"801","19019","Buchanan County, Iowa",73493,2062,20442,1764,20631
"802","19021","Buena Vista County, Iowa",62662,1889,19658,1391,20687
"803","19023","Butler County, Iowa",65743,1542,14114,1669,14376
"804","19025","Calhoun County, Iowa",65614,1074,9204,832,9893
"805","19027","Carroll County, Iowa",68041,2312,20349,1587,20728
"806","19029","Cass County, Iowa",60815,1426,12858,1973,13116
"807","19031","Cedar County, Iowa",76959,2013,18104,1418,18479
"808","19033","Cerro Gordo County, Iowa",63149,5056,42118,3929,42979
"809","19035","Cherokee County, Iowa",63638,1186,11286,1506,11601
"810","19037","Chickasaw County, Iowa",72734,1150,11729,740,11957
"811","19039","Clarke County, Iowa",63120,611,9524,1611,9737
"812","19041","Clay County, Iowa",61756,2059,16109,1845,16423
"813","19043","Clayton County, Iowa",60441,1573,16847,2194,17123
"814","19045","Clinton County, Iowa",61080,4879,45525,5649,46488
"815","19047","Crawford County, Iowa",61188,1340,16244,2759,16450
"816","19049","Dallas County, Iowa",99533,22847,99817,5657,100367
"817","19051","Davis County, Iowa",77176,782,8961,843,9093
"818","19053","Decatur County, Iowa",56068,685,6979,1011,7684
"819","19055","Delaware County, Iowa",75896,1638,17342,1152,17523
"820","19057","Des Moines County, Iowa",58084,4164,37950,5557,38824
"821","19059","Dickinson County, Iowa",72446,3246,17451,1086,17692
"822","19061","Dubuque County, Iowa",73495,14121,95249,9479,98812
"823","19063","Emmet County, Iowa",64461,735,8632,1096,9349
"824","19065","Fayette County, Iowa",56043,1684,18868,2232,19519
"825","19067","Floyd County, Iowa",62356,1421,15393,1673,15601
"826","19069","Franklin County, Iowa",62214,1053,9841,1353,10015
"827","19071","Fremont County, Iowa",69375,765,6488,489,6639
"828","19073","Greene County, Iowa",56884,893,8661,999,8801
"829","19075","Grundy County, Iowa",80701,1678,12182,724,12351
"830","19077","Guthrie County, Iowa",75795,1168,10481,1061,10619
"831","19079","Hamilton County, Iowa",66685,1871,14703,1144,14979
"832","19081","Hancock County, Iowa",67865,1262,10551,1046,10790
"833","19083","Hardin County, Iowa",64656,1845,16112,1355,16861
"834","19085","Harrison County, Iowa",75830,1529,14348,1092,14623
"835","19087","Henry County, Iowa",62365,2215,18788,2125,20436
"836","19089","Howard County, Iowa",63947,983,9276,805,9479
"837","19091","Humboldt County, Iowa",66617,963,9496,1267,9606
"838","19093","Ida County, Iowa",63125,726,6812,785,6969
"839","19095","Iowa County, Iowa",69787,1876,16322,1490,16575
"840","19097","Jackson County, Iowa",69709,1826,19209,1967,19470
"841","19099","Jasper County, Iowa",67784,3679,36095,3183,37808
"842","19101","Jefferson County, Iowa",52210,2716,14842,2074,15785
"843","19103","Johnson County, Iowa",72977,26707,145970,24647,153360
"844","19105","Jones County, Iowa",68781,2322,19447,2218,20733
"845","19107","Keokuk County, Iowa",60016,816,9883,1207,10026
"846","19109","Kossuth County, Iowa",62553,1513,14454,1514,14718
"847","19111","Lee County, Iowa",58094,3476,32055,4092,33442
"848","19113","Linn County, Iowa",75457,36999,224018,21239,229308
"849","19115","Louisa County, Iowa",72500,864,10655,1072,10823
"850","19117","Lucas County, Iowa",63405,651,8557,1422,8666
"851","19119","Lyon County, Iowa",73735,1174,11838,459,12023
"852","19121","Madison County, Iowa",88110,2186,16411,1007,16609
"853","19123","Mahaska County, Iowa",65200,2462,21320,2552,22059
"854","19125","Marion County, Iowa",74193,4750,31721,2438,33487
"855","19127","Marshall County, Iowa",70828,3938,38452,4294,40049
"856","19129","Mills County, Iowa",81907,2116,14423,996,14605
"857","19131","Mitchell County, Iowa",66056,1140,10261,688,10537
"858","19133","Monona County, Iowa",59897,696,8476,1040,8671
"859","19135","Monroe County, Iowa",76324,962,7435,805,7574
"860","19137","Montgomery County, Iowa",61261,975,10084,1461,10285
"861","19139","Muscatine County, Iowa",67427,4732,42138,4937,42968
"862","19141","O'Brien County, Iowa",65076,1658,13868,1683,14138
"863","19143","Osceola County, Iowa",67561,431,6013,760,6149
"864","19145","Page County, Iowa",58264,1381,14282,1918,15225
"865","19147","Palo Alto County, Iowa",67306,883,8537,913,8938
"866","19149","Plymouth County, Iowa",79963,3099,25267,1433,25621
"867","19151","Pocahontas County, Iowa",61434,644,6906,626,7061
"868","19153","Polk County, Iowa",78827,87045,484508,50072,493378
"869","19155","Pottawattamie County, Iowa",68718,10266,91067,10317,93543
"870","19157","Poweshiek County, Iowa",61192,1983,16978,1828,18608
"871","19159","Ringgold County, Iowa",67898,508,4474,369,4690
"872","19161","Sac County, Iowa",68778,1109,9574,831,9778
"873","19163","Scott County, Iowa",72792,26358,170439,20277,174315
"874","19165","Shelby County, Iowa",70295,1360,11507,1011,11737
"875","19167","Sioux County, Iowa",81914,4767,33547,2039,35815
"876","19169","Story County, Iowa",66197,15589,86383,16953,98573
"877","19171","Tama County, Iowa",65483,1490,16578,2513,17017
"878","19173","Taylor County, Iowa",65926,483,5806,496,5916
"879","19175","Union County, Iowa",56495,1424,11783,1401,12107
"880","19177","Van Buren County, Iowa",58417,638,7101,788,7207
"881","19179","Wapello County, Iowa",56209,2795,34402,6001,35292
"882","19181","Warren County, Iowa",89741,7787,50869,3135,52709
"883","19183","Washington County, Iowa",71122,2483,22106,1655,22534
"884","19185","Wayne County, Iowa",58257,486,6360,847,6484
"885","19187","Webster County, Iowa",65335,3861,34159,4151,36986
"886","19189","Winnebago County, Iowa",62853,1413,10048,779,10704
"887","19191","Winneshiek County, Iowa",67770,2629,17920,1601,20050
"888","19193","Woodbury County, Iowa",68399,10689,102741,13876,105526
"889","19195","Worth County, Iowa",69897,732,7290,537,7417
"890","19197","Wright County, Iowa",58240,1474,12678,1810,12897
"891","20001","Allen County, Kansas",55059,1053,12121,1841,12554
"892","20003","Anderson County, Kansas",67651,472,7625,1004,7799
"893","20005","Atchison County, Kansas",55281,1331,14839,2149,16309
"894","20007","Barber County, Kansas",53774,511,3982,809,4081
"895","20009","Barton County, Kansas",54634,2657,24826,3592,25477
"896","20011","Bourbon County, Kansas",55826,1464,13955,1785,14405
"897","20013","Brown County, Kansas",55876,964,9294,1347,9486
"898","20015","Butler County, Kansas",77724,9268,64314,5088,67618
"899","20017","Chase County, Kansas",52481,374,2467,216,2570
"900","20019","Chautauqua County, Kansas",51210,278,3339,587,3389
"901","20021","Cherokee County, Kansas",53382,1750,19091,2615,19380
"902","20023","Cheyenne County, Kansas",52730,327,2572,392,2619
"903","20025","Clark County, Kansas",58287,287,1874,220,1977
"904","20027","Clay County, Kansas",57765,1005,7918,899,8088
"905","20029","Cloud County, Kansas",51197,860,8569,1024,9008
"906","20031","Coffey County, Kansas",67645,907,8209,923,8334
"907","20033","Comanche County, Kansas",49754,222,1746,152,1825
"908","20035","Cowley County, Kansas",55726,3620,32375,4519,34661
"909","20037","Crawford County, Kansas",49779,4567,37038,7742,39012
"910","20039","Decatur County, Kansas",49412,444,2686,329,2771
"911","20041","Dickinson County, Kansas",62971,2186,18109,1601,18492
"912","20043","Doniphan County, Kansas",66358,543,6717,768,7501
"913","20045","Douglas County, Kansas",66153,20252,110618,18017,119094
"914","20047","Edwards County, Kansas",52750,280,2777,378,2849
"915","20049","Elk County, Kansas",50000,225,2443,362,2453
"916","20051","Ellis County, Kansas",59665,4187,27619,4223,28921
"917","20053","Ellsworth County, Kansas",59844,666,5385,471,6374
"918","20055","Finney County, Kansas",68481,2784,37357,4791,38187
"919","20057","Ford County, Kansas",67997,2581,33339,3959,34212
"920","20059","Franklin County, Kansas",68217,2586,25194,2100,25968
"921","20061","Geary County, Kansas",57992,2830,35147,6544,36247
"922","20063","Gove County, Kansas",59417,287,2707,173,2758
"923","20065","Graham County, Kansas",47071,323,2396,238,2430
"924","20067","Grant County, Kansas",84808,585,7250,387,7336
"925","20069","Gray County, Kansas",74500,622,5544,228,5719
"926","20071","Greeley County, Kansas",69948,147,1252,101,1279
"927","20073","Greenwood County, Kansas",51812,455,5909,903,6001
"928","20075","Hamilton County, Kansas",58750,225,2511,198,2520
"929","20077","Harper County, Kansas",53032,418,5312,825,5457
"930","20079","Harvey County, Kansas",70685,4769,32645,3163,33959
"931","20081","Haskell County, Kansas",66458,237,3683,332,3735
"932","20083","Hodgeman County, Kansas",63125,285,1730,152,1770
"933","20085","Jackson County, Kansas",70385,1185,13084,1036,13274
"934","20087","Jefferson County, Kansas",74562,1980,18155,1096,18387
"935","20089","Jewell County, Kansas",47109,279,2897,543,2929
"936","20091","Johnson County, Kansas",103644,142337,604521,31858,610742
"937","20093","Kearny County, Kansas",68750,246,3881,607,3964
"938","20095","Kingman County, Kansas",59640,922,7229,570,7369
"939","20097","Kiowa County, Kansas",70347,333,2238,116,2445
"940","20099","Labette County, Kansas",56143,1983,19685,2988,20096
"941","20101","Lane County, Kansas",52222,109,1523,137,1528
"942","20103","Leavenworth County, Kansas",84307,11556,76397,7711,82050
"943","20105","Lincoln County, Kansas",52540,286,2870,368,2929
"944","20107","Linn County, Kansas",56697,1013,9609,1105,9696
"945","20109","Logan County, Kansas",70382,385,2721,269,2752
"946","20111","Lyon County, Kansas",56415,2966,31042,5034,32182
"947","20113","McPherson County, Kansas",71250,4250,28420,3020,30085
"948","20115","Marion County, Kansas",60011,1512,11063,970,11867
"949","20117","Marshall County, Kansas",64306,937,9821,1036,10014
"950","20119","Meade County, Kansas",74063,413,3913,276,4019
"951","20121","Miami County, Kansas",85564,4707,33682,2347,34312
"952","20123","Mitchell County, Kansas",63008,749,5687,854,5829
"953","20125","Montgomery County, Kansas",51513,2811,30443,5146,31448
"954","20127","Morris County, Kansas",52866,760,5302,582,5385
"955","20129","Morton County, Kansas",57943,246,2615,345,2688
"956","20131","Nemaha County, Kansas",72788,1248,9904,863,10219
"957","20133","Neosho County, Kansas",54894,1518,15281,2286,15826
"958","20135","Ness County, Kansas",64907,332,2623,276,2677
"959","20137","Norton County, Kansas",52710,592,4462,420,5431
"960","20139","Osage County, Kansas",66155,1463,15484,1726,15787
"961","20141","Osborne County, Kansas",58750,439,3384,454,3493
"962","20143","Ottawa County, Kansas",74551,693,5663,589,5768
"963","20145","Pawnee County, Kansas",54141,626,5402,642,6288
"964","20147","Phillips County, Kansas",57611,491,4864,799,4960
"965","20149","Pottawatomie County, Kansas",85241,3957,25121,1821,25482
"966","20151","Pratt County, Kansas",61685,1039,8658,1005,9175
"967","20153","Rawlins County, Kansas",61827,249,2509,274,2544
"968","20155","Reno County, Kansas",57390,5730,58757,7243,61881
"969","20157","Republic County, Kansas",54531,552,4596,465,4686
"970","20159","Rice County, Kansas",58523,970,8738,854,9441
"971","20161","Riley County, Kansas",56327,9309,61241,13920,72105
"972","20163","Rooks County, Kansas",60821,592,4707,218,4925
"973","20165","Rush County, Kansas",53523,316,2866,368,2939
"974","20167","Russell County, Kansas",49929,738,6532,1143,6702
"975","20169","Saline County, Kansas",59887,6655,52654,6293,54160
"976","20171","Scott County, Kansas",53365,431,4983,379,5128
"977","20173","Sedgwick County, Kansas",65372,68727,514863,70351,522700
"978","20175","Seward County, Kansas",57131,1056,21526,2918,21942
"979","20177","Shawnee County, Kansas",63463,24726,174048,22395,178625
"980","20179","Sheridan County, Kansas",66719,296,2410,186,2450
"981","20181","Sherman County, Kansas",61404,751,5624,590,5940
"982","20183","Smith County, Kansas",50943,452,3496,256,3561
"983","20185","Stafford County, Kansas",60000,530,3944,436,4054
"984","20187","Stanton County, Kansas",66000,182,2030,268,2060
"985","20189","Stevens County, Kansas",67950,335,5158,816,5275
"986","20191","Sumner County, Kansas",59397,2401,22047,2553,22517
"987","20193","Thomas County, Kansas",72417,822,7457,489,7907
"988","20195","Trego County, Kansas",77500,400,2716,198,2798
"989","20197","Wabaunsee County, Kansas",70000,817,6783,402,6922
"990","20199","Wallace County, Kansas",57708,215,1466,228,1489
"991","20201","Washington County, Kansas",59432,587,5419,538,5529
"992","20203","Wichita County, Kansas",69551,257,2108,315,2131
"993","20205","Wilson County, Kansas",55439,875,8516,1387,8667
"994","20207","Woodson County, Kansas",50670,357,3076,408,3134
"995","20209","Wyandotte County, Kansas",57771,13738,165936,27937,167989
"996","21001","Adair County, Kentucky",49690,1139,17640,3490,18887
"997","21003","Allen County, Kentucky",57159,1577,20465,3381,20773
"998","21005","Anderson County, Kentucky",69885,2717,23634,3160,23839
"999","21007","Ballard County, Kentucky",57111,653,7589,1085,7742
"1000","21009","Barren County, Kentucky",48141,3283,43546,9187,44511
"1001","21011","Bath County, Kentucky",51471,682,12608,2916,12739
"1002","21013","Bell County, Kentucky",33658,1219,23401,6153,24248
"1003","21015","Boone County, Kentucky",91697,19562,134670,7725,136150
"1004","21017","Bourbon County, Kentucky",54580,1784,19941,3015,20228
"1005","21019","Boyd County, Kentucky",58327,3883,46345,8071,48242
"1006","21021","Boyle County, Kentucky",56568,3121,27702,4154,30613
"1007","21023","Bracken County, Kentucky",59911,647,8312,1410,8420
"1008","21025","Breathitt County, Kentucky",38209,803,13335,3801,13580
"1009","21027","Breckinridge County, Kentucky",51756,1161,20129,4734,20528
"1010","21029","Bullitt County, Kentucky",73900,6606,81905,8667,82482
"1011","21031","Butler County, Kentucky",47589,468,11984,2367,12365
"1012","21033","Caldwell County, Kentucky",52488,794,12512,2024,12635
"1013","21035","Calloway County, Kentucky",48276,4109,34183,6405,37345
"1014","21037","Campbell County, Kentucky",71979,15843,90031,10536,93122
"1015","21039","Carlisle County, Kentucky",53065,286,4725,949,4782
"1016","21041","Carroll County, Kentucky",50625,214,10545,2140,10842
"1017","21043","Carter County, Kentucky",47004,1543,25941,6195,26671
"1018","21045","Casey County, Kentucky",42190,711,15550,4059,15942
"1019","21047","Christian County, Kentucky",48920,5406,67076,11227,72766
"1020","21049","Clark County, Kentucky",61878,3290,36199,5451,36897
"1021","21051","Clay County, Kentucky",37888,1060,18871,5891,20322
"1022","21053","Clinton County, Kentucky",41180,541,9124,1850,9295
"1023","21055","Crittenden County, Kentucky",45810,472,8710,1560,8979
"1024","21057","Cumberland County, Kentucky",40515,503,5869,1658,5974
"1025","21059","Daviess County, Kentucky",64021,10844,100089,13990,102916
"1026","21061","Edmonson County, Kentucky",53029,476,11999,2035,12179
"1027","21063","Elliott County, Kentucky",39469,387,6046,1492,7378
"1028","21065","Estill County, Kentucky",39980,779,13995,3353,14138
"1029","21067","Fayette County, Kentucky",66087,54431,309254,46179,321276
"1030","21069","Fleming County, Kentucky",46885,998,15090,3167,15111
"1031","21071","Floyd County, Kentucky",38723,1906,35015,10254,35780
"1032","21073","Franklin County, Kentucky",62929,6670,49746,6596,51475
"1033","21075","Fulton County, Kentucky",35449,526,5965,1633,6480
"1034","21077","Gallatin County, Kentucky",58641,574,8590,1445,8720
"1035","21079","Garrard County, Kentucky",58263,1212,16947,2657,17175
"1036","21081","Grant County, Kentucky",65461,1625,24619,3157,25085
"1037","21083","Graves County, Kentucky",52526,2646,36109,7141,36701
"1038","21085","Grayson County, Kentucky",47024,1353,25933,5462,26465
"1039","21087","Green County, Kentucky",38595,554,11036,2356,11198
"1040","21089","Greenup County, Kentucky",58562,2338,35328,5323,35853
"1041","21091","Hancock County, Kentucky",68102,729,8883,1345,9058
"1042","21093","Hardin County, Kentucky",64136,10567,107715,12401,111005
"1043","21095","Harlan County, Kentucky",35128,974,25979,7799,26589
"1044","21097","Harrison County, Kentucky",58840,1248,18467,2925,18803
"1045","21099","Hart County, Kentucky",45561,821,18815,4259,19345
"1046","21101","Henderson County, Kentucky",56912,3763,43703,7431,44770
"1047","21103","Henry County, Kentucky",58294,1045,15606,2534,15731
"1048","21105","Hickman County, Kentucky",68589,572,4344,726,4491
"1049","21107","Hopkins County, Kentucky",54466,2671,43907,8424,45223
"1050","21109","Jackson County, Kentucky",38516,626,12830,2905,13002
"1051","21111","Jefferson County, Kentucky",66296,115392,763818,107897,779232
"1052","21113","Jessamine County, Kentucky",69905,6191,51659,6254,53381
"1053","21115","Johnson County, Kentucky",44231,1291,22090,4728,22631
"1054","21117","Kenton County, Kentucky",76016,27047,167108,19922,169066
"1055","21119","Knott County, Kentucky",38336,746,13697,3798,14282
"1056","21121","Knox County, Kentucky",34254,1833,29468,10030,30207
"1057","21123","Larue County, Kentucky",57867,618,14650,2760,14902
"1058","21125","Laurel County, Kentucky",53693,3840,61356,12608,62442
"1059","21127","Lawrence County, Kentucky",42488,645,16087,4236,16228
"1060","21129","Lee County, Kentucky",31682,275,6639,2082,7338
"1061","21131","Leslie County, Kentucky",37019,518,10054,3381,10468
"1062","21133","Letcher County, Kentucky",38466,1134,20965,6082,21490
"1063","21135","Lewis County, Kentucky",36662,539,12890,3428,13063
"1064","21137","Lincoln County, Kentucky",49487,1554,23885,4150,24320
"1065","21139","Livingston County, Kentucky",56125,487,8926,1503,8980
"1066","21141","Logan County, Kentucky",58869,1994,27107,4268,27498
"1067","21143","Lyon County, Kentucky",64081,504,7267,724,8721
"1068","21145","McCracken County, Kentucky",58490,7917,66209,10045,67573
"1069","21147","McCreary County, Kentucky",35000,445,15294,5147,16892
"1070","21149","McLean County, Kentucky",64020,709,9094,721,9173
"1071","21151","Madison County, Kentucky",59797,11548,87178,14057,92955
"1072","21153","Magoffin County, Kentucky",31927,299,11506,3503,11647
"1073","21155","Marion County, Kentucky",49627,838,18594,4180,19627
"1074","21157","Marshall County, Kentucky",64597,2981,30911,3744,31706
"1075","21159","Martin County, Kentucky",45265,566,10017,2357,11298
"1076","21161","Mason County, Kentucky",48460,1423,16767,3142,17068
"1077","21163","Meade County, Kentucky",68518,2143,29549,3925,29964
"1078","21165","Menifee County, Kentucky",43797,329,6111,1643,6174
"1079","21167","Mercer County, Kentucky",60728,2070,22442,2515,22662
"1080","21169","Metcalfe County, Kentucky",46932,552,10194,2447,10313
"1081","21171","Monroe County, Kentucky",47252,454,11162,2334,11331
"1082","21173","Montgomery County, Kentucky",53436,2061,27603,4525,28188
"1083","21175","Morgan County, Kentucky",46018,928,12205,2494,13840
"1084","21177","Muhlenberg County, Kentucky",50935,1649,29666,4840,30735
"1085","21179","Nelson County, Kentucky",66212,4407,46209,4051,46779
"1086","21181","Nicholas County, Kentucky",57539,169,7507,1215,7613
"1087","21183","Ohio County, Kentucky",52474,1318,23241,3263,23782
"1088","21185","Oldham County, Kentucky",117334,11661,64188,2561,67997
"1089","21187","Owen County, Kentucky",56485,1158,11112,1571,11229
"1090","21189","Owsley County, Kentucky",32844,226,3866,1114,4054
