studentid,assignment_type,assignment_number,pre_ai_grade,post_ai_grade
356,Computer Essay,1,67.2,66
356,Blue Book Essay,1,60.9,58.1
357,Computer Essay,1,75,81.8
357,Blue Book Essay,1,77.7,88.4
358,Computer Essay,1,70.1,70.7
358,Blue Book Essay,1,74.5,76.9
359,Computer Essay,1,79.7,79.3
359,Blue Book Essay,1,81.5,81.8
360,Computer Essay,1,57.1,69.6
360,Blue Book Essay,1,63.9,64.7
361,Computer Essay,1,80.7,85.7
361,Blue Book Essay,1,79.4,80.8
362,Computer Essay,1,91.8,93.8
362,Blue Book Essay,1,91.4,90.4
363,Computer Essay,1,61.1,64.2
363,Blue Book Essay,1,78.4,78.9
364,Computer Essay,1,80.5,84.2
364,Blue Book Essay,1,76.1,78.4
365,Computer Essay,1,83.3,93.2
365,Blue Book Essay,1,74.1,79.1
366,Computer Essay,1,67.1,65
366,Blue Book Essay,1,70.7,76.3
367,Computer Essay,1,70.1,69
367,Blue Book Essay,1,69.5,77.9
368,Computer Essay,1,70,75.3
368,Blue Book Essay,1,81.8,75.7
369,Computer Essay,1,68.4,72.8
369,Blue Book Essay,1,81.2,83
370,Computer Essay,1,66.1,75.5
370,Blue Book Essay,1,68.8,78.6
371,Computer Essay,1,71.4,70.7
371,Blue Book Essay,1,67.6,68.9
372,Computer Essay,1,73.2,79.5
372,Blue Book Essay,1,74.2,78
373,Computer Essay,1,87.7,87.5
373,Blue Book Essay,1,84.7,82.4
374,Computer Essay,1,87,85.8
374,Blue Book Essay,1,88.8,85
375,Computer Essay,1,87,87.3
375,Blue Book Essay,1,92.3,88.4
376,Computer Essay,1,60.7,61.8
376,Blue Book Essay,1,61.3,62
377,Computer Essay,1,78.1,77
377,Blue Book Essay,1,83.6,83.3
378,Computer Essay,1,83.2,83
378,Blue Book Essay,1,82.5,89.9
379,Computer Essay,1,99,111
379,Blue Book Essay,1,90.2,93.8
380,Computer Essay,1,59.3,68.4
380,Blue Book Essay,1,61.3,66.4
381,Computer Essay,1,67.4,69
381,Blue Book Essay,1,67.3,63.8
382,Computer Essay,1,72.2,72.1
382,Blue Book Essay,1,73.9,74.2
383,Computer Essay,1,50,60.9
383,Blue Book Essay,1,55.3,54.1
384,Computer Essay,1,73.4,80.6
384,Blue Book Essay,1,67.1,67
385,Computer Essay,1,65.3,66.5
385,Blue Book Essay,1,65.5,64.9
386,Computer Essay,1,73.8,79.7
386,Blue Book Essay,1,79.6,73.8
387,Computer Essay,1,85.2,85
387,Blue Book Essay,1,84.3,91.1
388,Computer Essay,1,89.2,98.7
388,Blue Book Essay,1,94.1,92.4
389,Computer Essay,1,78.6,76.3
389,Blue Book Essay,1,80.1,78.1
390,Computer Essay,1,66.9,69.4
390,Blue Book Essay,1,64.7,69.6
391,Computer Essay,1,61.1,68.1
391,Blue Book Essay,1,66.2,72.1
392,Computer Essay,1,78.3,80.2
392,Blue Book Essay,1,82.6,79.4
393,Computer Essay,1,64.1,66.1
393,Blue Book Essay,1,65.2,69.4
394,Computer Essay,1,94.7,108.1
394,Blue Book Essay,1,91.3,97.4
395,Computer Essay,1,80.9,87.1
395,Blue Book Essay,1,78.9,85.8
396,Computer Essay,1,67.2,66.8
396,Blue Book Essay,1,76.6,83.3
397,Computer Essay,1,52.8,65.8
397,Blue Book Essay,1,65.5,66.4
398,Computer Essay,1,83.8,89.9
398,Blue Book Essay,1,91.8,90.7
399,Computer Essay,1,72,76.9
399,Blue Book Essay,1,63.3,64.5
400,Computer Essay,1,82.9,84.6
400,Blue Book Essay,1,93.6,95
401,Computer Essay,1,55.7,67.6
401,Blue Book Essay,1,56.7,56.7
402,Computer Essay,1,69.9,76.2
402,Blue Book Essay,1,72.8,70
403,Computer Essay,1,67.6,84.4
403,Blue Book Essay,1,69.9,78.9
404,Computer Essay,1,66.7,73.6
404,Blue Book Essay,1,67.9,74
405,Computer Essay,1,71.2,75.7
405,Blue Book Essay,1,68.2,73.5
406,Computer Essay,1,79.7,86.5
406,Blue Book Essay,1,69.1,65.6
407,Computer Essay,1,63.2,73
407,Blue Book Essay,1,78.3,76.3
408,Computer Essay,1,76.2,82.9
408,Blue Book Essay,1,75,81.4
409,Computer Essay,1,84.5,86.4
409,Blue Book Essay,1,69.5,67.3
410,Computer Essay,1,80.9,80.2
410,Blue Book Essay,1,74.6,74.2
411,Computer Essay,1,85,86.8
411,Blue Book Essay,1,85.7,84.9
412,Computer Essay,1,58.2,58.1
412,Blue Book Essay,1,56.5,56
413,Computer Essay,1,69.8,66.2
413,Blue Book Essay,1,60.8,59.6
414,Computer Essay,1,90.9,86.6
414,Blue Book Essay,1,97.2,92.1
415,Computer Essay,1,85.7,83.6
415,Blue Book Essay,1,79.3,81.4
416,Computer Essay,1,52.3,53.8
416,Blue Book Essay,1,66.5,69.8
417,Computer Essay,1,83.4,84.7
417,Blue Book Essay,1,89.9,95
418,Computer Essay,1,69.7,72.7
418,Blue Book Essay,1,73.1,74.1
419,Computer Essay,1,89.1,97.3
419,Blue Book Essay,1,84.6,79.3
420,Computer Essay,1,72.2,87.7
420,Blue Book Essay,1,74.4,74
421,Computer Essay,1,100,101.3
421,Blue Book Essay,1,99.6,105.4
422,Computer Essay,1,92.4,97.2
422,Blue Book Essay,1,93.5,102.4
423,Computer Essay,1,76,75.7
423,Blue Book Essay,1,68.4,71.6
424,Computer Essay,1,78.7,82.9
424,Blue Book Essay,1,83.4,82.5
425,Computer Essay,1,79.2,91.5
425,Blue Book Essay,1,80.7,73
426,Computer Essay,1,83.7,93.5
426,Blue Book Essay,1,88.7,90.8
427,Computer Essay,1,54,56.4
427,Blue Book Essay,1,67.4,66.7
428,Computer Essay,1,76.7,81.7
428,Blue Book Essay,1,79.9,72.3
429,Computer Essay,1,88.1,99.3
429,Blue Book Essay,1,91,86.5
430,Computer Essay,1,54.4,56.7
430,Blue Book Essay,1,56.4,58.9
431,Computer Essay,1,57.5,64.3
431,Blue Book Essay,1,62.6,72.4
432,Computer Essay,1,56.1,56.9
432,Blue Book Essay,1,57.6,62.3
433,Computer Essay,1,72.4,83
433,Blue Book Essay,1,67,73.8
434,Computer Essay,1,78,87.4
434,Blue Book Essay,1,78.8,79.2
435,Computer Essay,1,89,105.5
435,Blue Book Essay,1,90.6,92.8
436,Computer Essay,1,74.7,77.5
436,Blue Book Essay,1,79.4,79.6
437,Computer Essay,1,98.3,96.3
437,Blue Book Essay,1,89.2,87.7
438,Computer Essay,1,53.8,53.1
438,Blue Book Essay,1,56.3,52.6
439,Computer Essay,1,56,53.8
439,Blue Book Essay,1,61.5,66.5
440,Computer Essay,1,75,73.5
440,Blue Book Essay,1,78.6,81.7
441,Computer Essay,1,71.4,77.1
441,Blue Book Essay,1,82.3,88.5
442,Computer Essay,1,66.8,77.8
442,Blue Book Essay,1,69.2,65.4
443,Computer Essay,1,54.6,57.7
443,Blue Book Essay,1,50,46.8
444,Computer Essay,1,74.9,77.1
444,Blue Book Essay,1,76.2,82.6
445,Computer Essay,1,61.3,62.2
445,Blue Book Essay,1,58.3,54.4
446,Computer Essay,1,81.4,86.8
446,Blue Book Essay,1,72.9,75.8
447,Computer Essay,1,80.1,83.7
447,Blue Book Essay,1,76.2,83.1
448,Computer Essay,1,65.3,67.2
448,Blue Book Essay,1,66.2,62.1
449,Computer Essay,1,71.6,74.6
449,Blue Book Essay,1,71.9,70.2
450,Computer Essay,1,62.2,68.5
450,Blue Book Essay,1,62.7,72.5
451,Computer Essay,1,77.8,85.3
451,Blue Book Essay,1,66.8,76.1
452,Computer Essay,1,84.5,91
452,Blue Book Essay,1,89,92.6
453,Computer Essay,1,64.4,70
453,Blue Book Essay,1,69.4,73.5
454,Computer Essay,1,76.3,74.3
454,Blue Book Essay,1,86.9,92
455,Computer Essay,1,70.2,71.8
455,Blue Book Essay,1,61.7,55.9
456,Computer Essay,1,68.2,73.2
456,Blue Book Essay,1,70.5,69.9
457,Computer Essay,1,81.7,84.4
457,Blue Book Essay,1,70.4,73.8
458,Computer Essay,1,72.5,85.5
458,Blue Book Essay,1,63.7,66.7
459,Computer Essay,1,63.8,67.9
459,Blue Book Essay,1,66,71.6
460,Computer Essay,1,63.8,76.8
460,Blue Book Essay,1,57.6,59.5
461,Computer Essay,1,91,96.1
461,Blue Book Essay,1,95.4,98.4
462,Computer Essay,1,75.4,76.1
462,Blue Book Essay,1,76.7,78.8
463,Computer Essay,1,53.4,59.3
463,Blue Book Essay,1,65.5,64.9
464,Computer Essay,1,77.1,89.1
464,Blue Book Essay,1,75.1,85.4
465,Computer Essay,1,69.5,74.3
465,Blue Book Essay,1,72.1,74.3
466,Computer Essay,1,71.8,72.2
466,Blue Book Essay,1,68,74.5
467,Computer Essay,1,82.3,94.8
467,Blue Book Essay,1,76.1,73.2
468,Computer Essay,1,81.8,89.7
468,Blue Book Essay,1,85.7,86
469,Computer Essay,1,65.1,65
469,Blue Book Essay,1,67.7,66
470,Computer Essay,1,66.4,71.9
470,Blue Book Essay,1,60.5,58.6
471,Computer Essay,1,69,76.7
471,Blue Book Essay,1,70,70.5
472,Computer Essay,1,54.4,51.2
472,Blue Book Essay,1,50,47.4
473,Computer Essay,1,55.4,57.3
473,Blue Book Essay,1,57.1,55.9
474,Computer Essay,1,84.4,95.4
474,Blue Book Essay,1,88.6,85.9
475,Computer Essay,1,87.4,87.8
475,Blue Book Essay,1,85.8,83.8
476,Computer Essay,1,73.4,72.8
476,Blue Book Essay,1,62.6,64
477,Computer Essay,1,79.7,86.1
477,Blue Book Essay,1,93.2,93.2
478,Computer Essay,1,75.6,75.9
478,Blue Book Essay,1,68.2,66.2
479,Computer Essay,1,100,104.5
479,Blue Book Essay,1,96.3,97.7
480,Computer Essay,1,92.9,110.1
480,Blue Book Essay,1,83.6,85
481,Computer Essay,1,74.1,84.1
481,Blue Book Essay,1,74.6,67.8
482,Computer Essay,1,62.1,69.8
482,Blue Book Essay,1,68.7,63.5
483,Computer Essay,1,56.7,66.7
483,Blue Book Essay,1,66.5,70.2
484,Computer Essay,1,79.8,79.3
484,Blue Book Essay,1,74.2,70.4
485,Computer Essay,1,73.3,77.3
485,Blue Book Essay,1,65.1,67.9
486,Computer Essay,1,68.3,87.4
486,Blue Book Essay,1,67.9,66.4
487,Computer Essay,1,68,72.9
487,Blue Book Essay,1,60,56.9
488,Computer Essay,1,63.3,65.9
488,Blue Book Essay,1,57.7,58.3
489,Computer Essay,1,86.8,89.6
489,Blue Book Essay,1,88.2,95.5
490,Computer Essay,1,76.3,90.4
490,Blue Book Essay,1,83.9,81.4
491,Computer Essay,1,69.3,79
491,Blue Book Essay,1,72.8,77.5
492,Computer Essay,1,85.1,85.7
492,Blue Book Essay,1,91.2,97.9
493,Computer Essay,1,75.8,77.5
493,Blue Book Essay,1,73.2,73.7
494,Computer Essay,1,67.1,69.5
494,Blue Book Essay,1,71.5,77.4
495,Computer Essay,1,77.8,82.7
495,Blue Book Essay,1,86.3,86.7
496,Computer Essay,1,73.7,79.9
496,Blue Book Essay,1,76.1,79.3
497,Computer Essay,1,51.4,56.4
497,Blue Book Essay,1,53,53.4
498,Computer Essay,1,57.4,60.3
498,Blue Book Essay,1,69.6,79.2
499,Computer Essay,1,62.3,63.2
499,Blue Book Essay,1,67.2,61.3
500,Computer Essay,1,63,70
500,Blue Book Essay,1,61.2,81
